ID; job title ; job skill ; company name ; location city 
1;Senior Software Engineer - Python;Full timeExperienced  2+ Yrs of Exp  Python  Computer Science  Software Engineering  Framework  Software Development  AWS  Information Technology (IT)  javaScript  Web Services  ReactJS;Paymob Solutions;Maadi, Cairo, Egypt 
2;Software Engineer (Python);Full timePart timeWork from homeEntry Level  0 - 3 Yrs of Exp  Python  Software Development  Startup  Software Engineering  Computer Science  English  Information Technology (IT)  Programming  IT/Software Development  Engineering - Telecom/Technology;Darsel;Cairo, Egypt 
3;Senior Python Developer - Security Engineering;Full timeExperienced  4 - 7 Yrs of Exp  Python  Cybersecurity  Software  Development  MySQL  DevOps  Docker  Information Technology (IT)  Software Engineering  Software Development;Master Linux;Heliopolis, Cairo, Egypt 
4;Senior Python Developer;Full timeWork from homeExperienced  3+ Yrs of Exp  Computer Science  Django  Engineering  Flask  HTML5  Information Technology (IT)  JavaScript  Python  ORM  Software Development;Confidential -;Maadi, Cairo, Egypt 
5;Senior Python Developer - Remote;Full timeWork from homeExperienced  3+ Yrs of Exp  Python  Django  javaScript  Software Development  Git  HTML5  Unit Testing  Computer Science  Information Technology (IT)  Programming;Nile Bits, LLC;6th of October, Giza, Egypt 
6;Senior Python Dveloper;Full timeExperienced  4 - 7 Yrs of Exp  Django  backend  Cloud  Computer Science  Python  Software Development  ERP  Information Technology (IT)  IT/Software Development  Engineering - Telecom/Technology;Confidential -;Cairo, Egypt 
7;Senior BackEnd Engineer (Python/Django);Full timeExperienced  4+ Yrs of Exp  Software Development  Java  Software  CI/CD  NoSQL  Backend  Information Technology (IT)  Computer Science  Software Engineering  MySQL;STC Solutions - Egypt;New Cairo, Cairo, Egypt 
8;Python Flask Developer;Full timeEntry Level  1 - 3 Yrs of Exp  Django  Docker  Python  Java  Programming  CSS  HTML  Angular  Computer Science  Information Technology (IT);RDI;Dokki, Giza, Egypt 
9;Python Developer;Full timeExperienced  2+ Yrs of Exp  Software Development  Python  Information Technology (IT)  Computer Science  javaScript  HTML5  Django  CSS3  jQuery  Flask;EBE;Dokki, Giza, Egypt 
10;Python Developer/ Full Stack Python Developer;Full timeExperienced  3 - 7 Yrs of Exp  Angular  AWS  Computer Science  Docker  Git  OOP  SQL  React  Software Development  Information Technology (IT);FlairsTech;Cairo, Egypt 
11;Backend Engineer - Python/Django;Full timeExperienced  2+ Yrs of Exp  Information Technology (IT)  Python  Django  AWS  Web Services  Computer Science  Software Development  javaScript  REST  APIs;Paymob Solutions;Maadi, Cairo, Egypt 
12;Python Developer;Full timeExperienced  2+ Yrs of Exp  Python  Git  Computer Science  Information Technology (IT)  Software Development  AWS  Agile  SQL  javaScript  PHP;Trufla;Heliopolis, Cairo, Egypt 
13;Lead Software Engineer - Python Back End;Full timeManager  6+ Yrs of Exp  Computer Science  Information Technology (IT)  Software Development  Software Engineering  Python  NoSQL  IT/Software Development  Engineering - Telecom/Technology;LxT;Mohandessin, Giza, Egypt 
14;Senior Full Stack Python Developer;Full timeExperienced  3+ Yrs of Exp  Python  Software Development  Programming  Information Technology (IT)  JavaScript  Development  Computer Science  IT/Software Development  Engineering - Telecom/Technology;FlairsTech;Maadi, Cairo, Egypt 
15;Python Programming Instructor;Freelance / ProjectExperienced  3 - 8 Yrs of Exp  Instructor  Python  trainer  programming  Computer Science  Information Technology (IT)  IT/Software Development  Education/Teaching  Training/Instructor;Yat Learning Centers;Mohandessin, Giza, Egypt 
